campaign		imperial_campaign
playable
	romans_julii;			<--------- Fabia gens
	romans_brutii;			<--------- Valeria gens
	romans_scipii;			<--------- Claudia gens
	carthage_barcid;		<--------- Barcids
	carthage_hannonid;		<--------- Hannonids
	carthage_magonid;		<--------- Magonids
	egypt;					<--------- Egypt
	seleucid;				<--------- Seleucids
	parthia;				<--------- Parthia
	gauls;					<--------- Arverni
	germans;				<--------- Suebi
	britons;				<--------- Iceni
	greek_cities;			<--------- Syracuse
	macedon;				<--------- Macedon
	pontus;					<--------- Pontus
	armenia;				<--------- Armenia
	dacia;					<--------- Getae
	numidia;				<--------- Massylii
	scythia;				<--------- Royal Scythia
	spain;					<--------- Arevaci
	thrace;					<--------- Odrysia
	anatolian_faction_01;	<--------- Bithynia
	anatolian_faction_02;	<--------- Judea
	britanic_faction_01;	<--------- Brigantes
	britanic_faction_02;	<--------- Demetae
	britanic_faction_03;	<--------- Dumonii
	britanic_faction_04;	<--------- Eriu
	britanic_faction_05;	<--------- Caledonii
	caucasian_faction_01;	<--------- Kartli
	caucasian_faction_02;	<--------- Ardhan
	caucasian_faction_03;	<--------- Atropatene
	caucasian_faction_04;	<--------- Cappadocia
	dacian_faction_01;		<--------- Bastarnae
	dacian_faction_02;		<--------- Biephi
	dacian_faction_03;		<--------- Apuli
	desert_faction_01;		<--------- Mauri
	desert_faction_02;		<--------- Masaesyli
	desert_faction_03;		<--------- Nabatea
	desert_faction_04;		<--------- Nasamones
	desert_faction_05;		<--------- Garamantes
	desert_faction_06;		<--------- Lihyanites
	desert_faction_07;		<--------- Qedar
	desert_faction_08;		<--------- Ma'in
	gallic_faction_01;		<--------- Liguri
	gallic_faction_02;		<--------- Insubres
	gallic_faction_03;		<--------- Veneti
	gallic_faction_04;		<--------- Nori
	gallic_faction_05;		<--------- Pictones
	gallic_faction_06;		<--------- Volcae
	gallic_faction_07;		<--------- Namnetes
	gallic_faction_08;		<--------- Nervi
	gallic_faction_09;		<--------- Aedui
	gallic_faction_10;		<--------- Boii
	gallic_faction_11;		<--------- Galatia
	gallic_faction_12;		<--------- Treverii
	gallic_faction_13;		<--------- Scordisci
	gallic_faction_14;		<--------- Tylis
	gallic_faction_15;		<--------- Breuci
	gallic_faction_16;		<--------- Helvetii
	gallic_faction_17;		<--------- Mediomatrici
	gallic_faction_18;		<--------- Eravisci
	germanic_faction_01;	<--------- Frisii
	germanic_faction_02;	<--------- Cimbri
	germanic_faction_03;	<--------- Marcomanni
	germanic_faction_04;	<--------- Cherusi
	germanic_faction_05;	<--------- Lugii
	germanic_faction_06;	<--------- Aesti
	germanic_faction_07;	<--------- Gutones
	germanic_faction_08;	<--------- Chatti
	germanic_faction_09;	<--------- Chauci
	germanic_faction_10;	<--------- Rugii
	hellenic_faction_01;	<--------- Sparta
	hellenic_faction_02;	<--------- Massilia
	hellenic_faction_03;	<--------- Pergamon
	hellenic_faction_04;	<--------- Cimmeria
	hellenic_faction_05;	<--------- Aetolia League
	hellenic_faction_06;	<--------- Rhodes
	hellenic_faction_07;	<--------- Knossos
	hellenic_faction_08;	<--------- Cyrenaica
	hellenic_faction_09;	<--------- Athens
	hellenic_faction_10;	<--------- Colchis
	hellenic_faction_11;	<--------- Byzantion
	hellenic_faction_12;	<--------- Emporium
	hellenic_faction_13;	<--------- Epirus
	hellenic_faction_14;	<--------- Achaean League
	hellenic_faction_15;	<--------- Sinope
	hellenic_faction_16;	<--------- Trapezos
	hellenic_faction_17;	<--------- Chersonesus
	hellenic_faction_18;	<--------- Pontic Pentapolis
	iberian_faction_01;		<--------- Lusitani
	iberian_faction_02;		<--------- Gallaeci
	iberian_faction_03;		<--------- Cassetani
	iberian_faction_04;		<--------- Edetani
	iberian_faction_05;		<--------- Bastetani
	iberian_faction_06;		<--------- Turdetani
	iberian_faction_07;		<--------- Cantabri
	iberian_faction_08;		<--------- Aquitani
	illyrian_faction_01;	<--------- Dalmatae
	illyrian_faction_02;	<--------- Daorsi
	illyrian_faction_03;	<--------- Ardiaei
	illyrian_faction_04;	<--------- Dardania
	illyrian_faction_05;	<--------- Taulantii
	latin_faction_01;		<--------- Mamertines
	latin_faction_02;		<--------- Picentini
	latin_faction_03;		<--------- Etruscans
	latin_faction_04;		<--------- Samnites
	latin_faction_05;		<--------- Raeti
	steppe_faction_01;		<--------- Aorsi
